,GENDER,How important is attractiveness to you?,How important is sincerity to you?,How important is intelligence to you?,Import_of_Fun,Import_of_Amb,Import_of_Shar,Exp_of_Attr,Exp_of_Sinc,Exp_of_Int,Exp_of_Fun,Exp_of_Amb,Exp_of_Shar
47,Female,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0
48,Female,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0
49,Female,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0
50,Female,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
51,Female,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
52,Female,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
53,Female,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
54,Female,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
55,Female,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
56,Female,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
57,Female,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
58,Female,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
59,Female,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
60,Female,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
61,Female,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
62,Female,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
63,Female,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
64,Female,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
65,Female,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
66,Female,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
67,Female,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
68,Female,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
69,Female,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
70,Female,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
71,Female,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
72,Female,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
73,Female,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
74,Female,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
75,Female,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
76,Female,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
77,Female,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
78,Female,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
79,Female,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
80,Female,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
81,Female,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
82,Female,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
83,Female,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
84,Female,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
85,Female,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
86,Female,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
87,Female,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
88,Female,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
89,Female,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
90,Female,15.0,15.0,15.0,40.0,10.0,5.0,45.0,10.0,15.0,20.0,5.0,5.0
91,Female,15.0,15.0,15.0,40.0,10.0,5.0,45.0,10.0,15.0,20.0,5.0,5.0
92,Female,15.0,15.0,15.0,40.0,10.0,5.0,45.0,10.0,15.0,20.0,5.0,5.0
93,Female,15.0,15.0,15.0,40.0,10.0,5.0,45.0,10.0,15.0,20.0,5.0,5.0
94,Female,15.0,15.0,15.0,40.0,10.0,5.0,45.0,10.0,15.0,20.0,5.0,5.0
95,Female,15.0,15.0,15.0,40.0,10.0,5.0,45.0,10.0,15.0,20.0,5.0,5.0
96,Female,15.0,15.0,15.0,40.0,10.0,5.0,45.0,10.0,15.0,20.0,5.0,5.0
97,Female,15.0,15.0,15.0,40.0,10.0,5.0,45.0,10.0,15.0,20.0,5.0,5.0
98,Female,15.0,15.0,15.0,40.0,10.0,5.0,45.0,10.0,15.0,20.0,5.0,5.0
99,Female,15.0,15.0,15.0,40.0,10.0,5.0,45.0,10.0,15.0,20.0,5.0,5.0
100,Male,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0
101,Male,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0
102,Male,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0
103,Male,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0
104,Male,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0
105,Male,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0
106,Male,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0
107,Male,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0
108,Male,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0
109,Male,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0
110,Male,60.0,0.0,0.0,40.0,0.0,0.0,25.0,15.0,25.0,20.0,15.0,0.0
111,Male,60.0,0.0,0.0,40.0,0.0,0.0,25.0,15.0,25.0,20.0,15.0,0.0
112,Male,60.0,0.0,0.0,40.0,0.0,0.0,25.0,15.0,25.0,20.0,15.0,0.0
113,Male,60.0,0.0,0.0,40.0,0.0,0.0,25.0,15.0,25.0,20.0,15.0,0.0
114,Male,60.0,0.0,0.0,40.0,0.0,0.0,25.0,15.0,25.0,20.0,15.0,0.0
115,Male,60.0,0.0,0.0,40.0,0.0,0.0,25.0,15.0,25.0,20.0,15.0,0.0
116,Male,60.0,0.0,0.0,40.0,0.0,0.0,25.0,15.0,25.0,20.0,15.0,0.0
117,Male,60.0,0.0,0.0,40.0,0.0,0.0,25.0,15.0,25.0,20.0,15.0,0.0
118,Male,60.0,0.0,0.0,40.0,0.0,0.0,25.0,15.0,25.0,20.0,15.0,0.0
119,Male,60.0,0.0,0.0,40.0,0.0,0.0,25.0,15.0,25.0,20.0,15.0,0.0
120,Male,19.0,18.0,19.0,18.0,14.0,12.0,20.0,16.0,16.0,18.0,16.0,14.0
121,Male,19.0,18.0,19.0,18.0,14.0,12.0,20.0,16.0,16.0,18.0,16.0,14.0
122,Male,19.0,18.0,19.0,18.0,14.0,12.0,20.0,16.0,16.0,18.0,16.0,14.0
123,Male,19.0,18.0,19.0,18.0,14.0,12.0,20.0,16.0,16.0,18.0,16.0,14.0
124,Male,19.0,18.0,19.0,18.0,14.0,12.0,20.0,16.0,16.0,18.0,16.0,14.0
125,Male,19.0,18.0,19.0,18.0,14.0,12.0,20.0,16.0,16.0,18.0,16.0,14.0
126,Male,19.0,18.0,19.0,18.0,14.0,12.0,20.0,16.0,16.0,18.0,16.0,14.0
127,Male,19.0,18.0,19.0,18.0,14.0,12.0,20.0,16.0,16.0,18.0,16.0,14.0
128,Male,19.0,18.0,19.0,18.0,14.0,12.0,20.0,16.0,16.0,18.0,16.0,14.0
129,Male,19.0,18.0,19.0,18.0,14.0,12.0,20.0,16.0,16.0,18.0,16.0,14.0
130,Male,30.0,5.0,15.0,40.0,5.0,5.0,20.0,15.0,20.0,20.0,5.0,20.0
131,Male,30.0,5.0,15.0,40.0,5.0,5.0,20.0,15.0,20.0,20.0,5.0,20.0
132,Male,30.0,5.0,15.0,40.0,5.0,5.0,20.0,15.0,20.0,20.0,5.0,20.0
133,Male,30.0,5.0,15.0,40.0,5.0,5.0,20.0,15.0,20.0,20.0,5.0,20.0
134,Male,30.0,5.0,15.0,40.0,5.0,5.0,20.0,15.0,20.0,20.0,5.0,20.0
135,Male,30.0,5.0,15.0,40.0,5.0,5.0,20.0,15.0,20.0,20.0,5.0,20.0
136,Male,30.0,5.0,15.0,40.0,5.0,5.0,20.0,15.0,20.0,20.0,5.0,20.0
137,Male,30.0,5.0,15.0,40.0,5.0,5.0,20.0,15.0,20.0,20.0,5.0,20.0
138,Male,30.0,5.0,15.0,40.0,5.0,5.0,20.0,15.0,20.0,20.0,5.0,20.0
139,Male,30.0,5.0,15.0,40.0,5.0,5.0,20.0,15.0,20.0,20.0,5.0,20.0
140,Male,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0
141,Male,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0
142,Male,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0
143,Male,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0
144,Male,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0
145,Male,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0
146,Male,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0
147,Male,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0
148,Male,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0
149,Male,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0
150,Male,50.0,0.0,30.0,10.0,0.0,10.0,50.0,5.0,30.0,5.0,5.0,5.0
151,Male,50.0,0.0,30.0,10.0,0.0,10.0,50.0,5.0,30.0,5.0,5.0,5.0
152,Male,50.0,0.0,30.0,10.0,0.0,10.0,50.0,5.0,30.0,5.0,5.0,5.0
153,Male,50.0,0.0,30.0,10.0,0.0,10.0,50.0,5.0,30.0,5.0,5.0,5.0
154,Male,50.0,0.0,30.0,10.0,0.0,10.0,50.0,5.0,30.0,5.0,5.0,5.0
155,Male,50.0,0.0,30.0,10.0,0.0,10.0,50.0,5.0,30.0,5.0,5.0,5.0
156,Male,50.0,0.0,30.0,10.0,0.0,10.0,50.0,5.0,30.0,5.0,5.0,5.0
157,Male,50.0,0.0,30.0,10.0,0.0,10.0,50.0,5.0,30.0,5.0,5.0,5.0
158,Male,50.0,0.0,30.0,10.0,0.0,10.0,50.0,5.0,30.0,5.0,5.0,5.0
159,Male,50.0,0.0,30.0,10.0,0.0,10.0,50.0,5.0,30.0,5.0,5.0,5.0
160,Male,35.0,15.0,25.0,10.0,5.0,10.0,25.0,20.0,20.0,20.0,10.0,5.0
161,Male,35.0,15.0,25.0,10.0,5.0,10.0,25.0,20.0,20.0,20.0,10.0,5.0
162,Male,35.0,15.0,25.0,10.0,5.0,10.0,25.0,20.0,20.0,20.0,10.0,5.0
163,Male,35.0,15.0,25.0,10.0,5.0,10.0,25.0,20.0,20.0,20.0,10.0,5.0
164,Male,35.0,15.0,25.0,10.0,5.0,10.0,25.0,20.0,20.0,20.0,10.0,5.0
165,Male,35.0,15.0,25.0,10.0,5.0,10.0,25.0,20.0,20.0,20.0,10.0,5.0
166,Male,35.0,15.0,25.0,10.0,5.0,10.0,25.0,20.0,20.0,20.0,10.0,5.0
167,Male,35.0,15.0,25.0,10.0,5.0,10.0,25.0,20.0,20.0,20.0,10.0,5.0
168,Male,35.0,15.0,25.0,10.0,5.0,10.0,25.0,20.0,20.0,20.0,10.0,5.0
169,Male,35.0,15.0,25.0,10.0,5.0,10.0,25.0,20.0,20.0,20.0,10.0,5.0
170,Male,33.33,11.11,11.11,11.11,11.11,22.22,10.0,10.0,20.0,25.0,25.0,10.0
171,Male,33.33,11.11,11.11,11.11,11.11,22.22,10.0,10.0,20.0,25.0,25.0,10.0
172,Male,33.33,11.11,11.11,11.11,11.11,22.22,10.0,10.0,20.0,25.0,25.0,10.0
173,Male,33.33,11.11,11.11,11.11,11.11,22.22,10.0,10.0,20.0,25.0,25.0,10.0
174,Male,33.33,11.11,11.11,11.11,11.11,22.22,10.0,10.0,20.0,25.0,25.0,10.0
175,Male,33.33,11.11,11.11,11.11,11.11,22.22,10.0,10.0,20.0,25.0,25.0,10.0
176,Male,33.33,11.11,11.11,11.11,11.11,22.22,10.0,10.0,20.0,25.0,25.0,10.0
177,Male,33.33,11.11,11.11,11.11,11.11,22.22,10.0,10.0,20.0,25.0,25.0,10.0
178,Male,33.33,11.11,11.11,11.11,11.11,22.22,10.0,10.0,20.0,25.0,25.0,10.0
179,Male,33.33,11.11,11.11,11.11,11.11,22.22,10.0,10.0,20.0,25.0,25.0,10.0
180,Male,50.0,0.0,25.0,10.0,0.0,15.0,40.0,15.0,20.0,10.0,10.0,5.0
181,Male,50.0,0.0,25.0,10.0,0.0,15.0,40.0,15.0,20.0,10.0,10.0,5.0
182,Male,50.0,0.0,25.0,10.0,0.0,15.0,40.0,15.0,20.0,10.0,10.0,5.0
183,Male,50.0,0.0,25.0,10.0,0.0,15.0,40.0,15.0,20.0,10.0,10.0,5.0
184,Male,50.0,0.0,25.0,10.0,0.0,15.0,40.0,15.0,20.0,10.0,10.0,5.0
185,Male,50.0,0.0,25.0,10.0,0.0,15.0,40.0,15.0,20.0,10.0,10.0,5.0
186,Male,50.0,0.0,25.0,10.0,0.0,15.0,40.0,15.0,20.0,10.0,10.0,5.0
187,Male,50.0,0.0,25.0,10.0,0.0,15.0,40.0,15.0,20.0,10.0,10.0,5.0
188,Male,50.0,0.0,25.0,10.0,0.0,15.0,40.0,15.0,20.0,10.0,10.0,5.0
189,Male,50.0,0.0,25.0,10.0,0.0,15.0,40.0,15.0,20.0,10.0,10.0,5.0
190,Male,100.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,10.0,10.0,10.0
191,Male,100.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,10.0,10.0,10.0
192,Male,100.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,10.0,10.0,10.0
193,Male,100.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,10.0,10.0,10.0
194,Male,100.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,10.0,10.0,10.0
195,Male,100.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,10.0,10.0,10.0
196,Male,100.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,10.0,10.0,10.0
197,Male,100.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,10.0,10.0,10.0
198,Male,100.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,10.0,10.0,10.0
199,Male,100.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,10.0,10.0,10.0
200,Female,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0
201,Female,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0
202,Female,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0
203,Female,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0
204,Female,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0
205,Female,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0
206,Female,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0
207,Female,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0
208,Female,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0
209,Female,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0
210,Female,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0
211,Female,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0
212,Female,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0
213,Female,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0
214,Female,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0
215,Female,12.0,18.0,20.0,16.0,16.0,18.0,35.0,15.0,10.0,15.0,5.0,20.0
216,Female,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0
217,Female,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0
218,Female,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0
219,Female,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0
220,Female,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0
221,Female,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0
222,Female,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0
223,Female,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0
224,Female,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0
225,Female,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0
226,Female,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0
227,Female,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0
228,Female,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0
229,Female,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0
230,Female,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0
231,Female,20.0,20.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0
232,Female,10.0,20.0,40.0,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0
233,Female,10.0,20.0,40.0,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0
234,Female,10.0,20.0,40.0,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0
235,Female,10.0,20.0,40.0,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0
236,Female,10.0,20.0,40.0,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0
237,Female,10.0,20.0,40.0,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0
238,Female,10.0,20.0,40.0,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0
239,Female,10.0,20.0,40.0,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0
240,Female,10.0,20.0,40.0,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0
241,Female,10.0,20.0,40.0,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0
242,Female,10.0,20.0,40.0,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0
243,Female,10.0,20.0,40.0,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0
244,Female,10.0,20.0,40.0,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0
245,Female,10.0,20.0,40.0,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0
246,Female,10.0,20.0,40.0,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0
247,Female,10.0,20.0,40.0,10.0,10.0,10.0,40.0,5.0,20.0,20.0,5.0,10.0
248,Female,10.0,20.0,20.0,15.0,20.0,15.0,35.0,10.0,15.0,20.0,10.0,10.0
249,Female,10.0,20.0,20.0,15.0,20.0,15.0,35.0,10.0,15.0,20.0,10.0,10.0
250,Female,10.0,20.0,20.0,15.0,20.0,15.0,35.0,10.0,15.0,20.0,10.0,10.0
251,Female,10.0,20.0,20.0,15.0,20.0,15.0,35.0,10.0,15.0,20.0,10.0,10.0
252,Female,10.0,20.0,20.0,15.0,20.0,15.0,35.0,10.0,15.0,20.0,10.0,10.0
253,Female,10.0,20.0,20.0,15.0,20.0,15.0,35.0,10.0,15.0,20.0,10.0,10.0
254,Female,10.0,20.0,20.0,15.0,20.0,15.0,35.0,10.0,15.0,20.0,10.0,10.0
255,Female,10.0,20.0,20.0,15.0,20.0,15.0,35.0,10.0,15.0,20.0,10.0,10.0
256,Female,10.0,20.0,20.0,15.0,20.0,15.0,35.0,10.0,15.0,20.0,10.0,10.0
257,Female,10.0,20.0,20.0,15.0,20.0,15.0,35.0,10.0,15.0,20.0,10.0,10.0
258,Female,10.0,20.0,20.0,15.0,20.0,15.0,35.0,10.0,15.0,20.0,10.0,10.0
